;2014M01;2014M02;2014M03;2014M04;2014M05;2014M06;2014M07;2014M08;2014M09;2014M10;2014M11;2014M12;2015M01;2015M02;2015M03;2015M04;2015M05;2015M06;2015M07;2015M08;2015M09;2015M10;2015M11;2015M12;2016M01;2016M02;2016M03;2016M04;2016M05;2016M06;2016M07;2016M08;2016M09;2016M10;2016M11;2016M12;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08;2021M09;2021M10;2021M11;2021M12;2014M01-I;2014M02-I;2014M03-I;2014M04-I;2014M05-I;2014M06-I;2014M07-I;2014M08-I;2014M09-I;2014M10-I;2014M11-I;2014M12-I;2015M01-I;2015M02-I;2015M03-I;2015M04-I;2015M05-I;2015M06-I;2015M07-I;2015M08-I;2015M09-I;2015M10-I;2015M11-I;2015M12-I;2016M01-I;2016M02-I;2016M03-I;2016M04-I;2016M05-I;2016M06-I;2016M07-I;2016M08-I;2016M09-I;2016M10-I;2016M11-I;2016M12-I;2017M01-I;2017M02-I;2017M03-I;2017M04-I;2017M05-I;2017M06-I;2017M07-I;2017M08-I;2017M09-I;2017M10-I;2017M11-I;2017M12-I;2018M01-I;2018M02-I;2018M03-I;2018M04-I;2018M05-I;2018M06-I;2018M07-I;2018M08-I;2018M09-I;2018M10-I;2018M11-I;2018M12-I;2019M01-I;2019M02-I;2019M03-I;2019M04-I;2019M05-I;2019M06-I;2019M07-I;2019M08-I;2019M09-I;2019M10-I;2019M11-I;2019M12-I;2020M01-I;2020M02-I;2020M03-I;2020M04-I
Zimbabwe;293,24;279,03;313,81;304,03;338,88;358,35;353,46;355,44;401,97;395,33;367,87;364,75;268,39;306,32;305,91;337,32;332,49;362,41;377,50;324,15;330,13;354,37;321,83;298,79;227,39;298,77;249,01;266,95;258,83;292,84;269,89;282,17;334,17;344,10;342,04;284,47;226,16;249,00;285,00;279,73;350,80;317,59;308,68;299,08;291,76;305,93;317,49;354,33;303,40;310,98;347,38;304,08;337,87;364,26;355,78;348,37;340,09;313,10;319,97;251,38;193,46;248,48;259,23;256,20;285,58;282,36;301,78;263,08;260,91;275,20;285,24;293,84;241,51;274,63;242,72;166,02;332,90;371,68;408,51;373,75;420,20;419,01;454,30;422,43;464,85;449,86;500,16;502,31;365,38;261,69;468,45;205,47;145,01;139,25;155,71;200,31;220,63;178,68;166,71;185,04;221,04;153,63;297,67;467,84;155,81;130,52;180,70;132,30;165,13;224,59;182,02;196,50;163,90;266,37;370,75;472,84;121,30;95,09;105,65;120,88;122,21;150,94;128,64;129,59;212,03;148,05;382,22;360,21;171,99;144,37;166,05;179,60;208,45;205,05;198,23;211,22;226,56;259,26;335,17;440,90;318,46;239,01;264,38;349,82;263,04;257,96;236,49;247,72;272,59;327,02;395,29;381,67;301,84;216,68;239,70;229,07;230,06;223,03;238,20;239,47;306,75;292,36;388,46;447,22
Africa not specified;27,08;27,41;42,64;32,76;44,22;36,22;30,53;28,15;23,09;32,81;27,15;25,73;25,54;32,72;34,71;37,18;30,68;25,30;29,33;18,16;19,45;21,84;33,58;50,44;30,38;29,56;36,43;33,70;66,19;31,33;39,68;37,77;35,64;43,94;31,94;36,91;73,43;94,53;117,35;107,29;126,46;111,06;145,27;52,80;29,89;33,24;39,70;39,64;43,11;30,91;37,54;48,09;36,85;34,98;27,60;35,06;27,86;17,49;22,69;14,31;15,56;12,01;13,35;14,25;14,84;20,90;15,57;15,67;12,60;18,72;12,01;21,07;23,53;15,45;21,43;60,36;18,49;13,98;1429,77;1267,48;1527,32;26,59;19,55;26,05;18,89;26,70;23,42;25,67;5,86;7,04;3,74;70,79;7,25;6,46;8,86;7,14;6,65;3,39;6,27;5,17;4,55;11,41;4,90;13,12;6,68;7,22;5,65;7,67;3,47;4,92;3,69;35,54;12,10;10,42;15,48;14,43;11,63;11,04;8,69;11,44;9,20;16,74;17,59;63,33;45,80;97,62;58,04;26,26;20,30;47,87;21,88;7,04;5,83;7,06;9,36;14,33;13,52;6,33;5,10;31,59;19,38;22,31;53,29;52,71;16,32;21,03;55,94;19,17;21,16;21,00;24,18;24,06;38,77;14,79;11,96;17,24;74,29;46,12;42,99;42,33;48,04;52,48;59,67;32,09
Western Hemisphere;87707,77;80326,69;92326,04;91033,98;95169,25;93759,04;98716,06;93802,44;93341,01;97813,21;89213,50;89727,58;79685,94;77098,29;83119,29;81099,95;82478,49;85614,86;86573,31;80209,76;81114,71;82040,60;73985,61;75464,62;66538,19;66021,22;73555,27;71641,22;74284,38;77577,80;74230,16;79397,22;78157,55;75329,92;77923,14;77079,02;74661,95;67827,15;83151,81;74602,97;81789,31;84580,38;83639,83;85030,62;85190,07;85810,43;85710,24;84305,12;83107,35;80580,66;88787,19;89898,82;91812,48;92326,20;92142,35;94307,53;86219,37;96802,75;88918,66;81708,69;84937,10;75896,21;86569,83;86342,43;89227,76;83406,41;90495,60;86984,47;85571,92;88089,73;82122,79;83893,64;78428,03;73090,39;78386,58;55697,13;84745,25;82523,11;95575,76;94435,47;97469,53;103322,11;105194,72;107134,66;104831,13;108515,81;110459,20;112831,13;93424,10;87263,39;95456,82;100236,90;100404,26;100462,28;104500,71;99754,25;100756,56;104227,81;89172,70;93218,43;81078,02;74210,55;86591,14;85033,01;82337,64;89457,24;90066,68;83542,60;84929,26;85901,08;79231,84;79041,41;71456,23;71599,09;78935,37;79457,74;80903,22;83351,93;79717,83;85391,44;83407,72;80910,24;83612,91;82000,02;79222,74;78315,27;91304,00;83867,35;91416,33;89228,14;86871,88;93089,42;89305,29;92361,51;94836,13;89970,57;94300,50;86119,76;97163,95;96111,47;100976,88;97222,75;98604,14;102029,29;95760,68;103542,27;96564,31;91697,56;96051,85;87500,90;93954,36;96614,98;99122,70;90550,21;98759,37;95896,36;93466,57;98073,82;92404,91;93172,58;92182,68;86417,61;90285,51;66386,47
Anguilla;2,10;2,14;2,53;1,86;1,53;1,70;1,68;1,63;1,35;1,54;5,37;17,84;1,85;1,55;2,02;1,65;1,19;1,95;2,91;2,31;3,52;3,72;3,74;2,65;3,16;3,09;1,70;1,89;2,19;1,79;2,39;4,31;1,41;2,19;14,97;13,93;8,15;1,99;2,43;2,17;12,65;39,51;11,21;8,95;12,26;19,23;21,32;29,09;16,49;21,93;25,29;23,09;19,75;23,64;20,53;23,14;22,40;36,08;42,55;31,49;29,90;28,32;25,12;28,45;25,92;23,29;29,58;27,44;20,61;35,97;24,48;63,13;28,32;21,77;23,28;23,59;19,73;37,53;33,26;35,34;22,55;30,09;34,95;35,88;55,28;45,28;43,66;44,28;0,31;0,20;0,30;0,40;0,31;0,42;0,59;0,41;0,35;0,52;0,94;0,39;0,86;7,10;3,57;6,95;0,58;0,50;0,53;5,09;0,49;0,65;0,52;0,71;0,40;0,86;6,48;5,80;0,59;0,57;0,59;0,84;4,06;0,60;2,05;1,21;1,01;3,97;0,45;0,48;0,81;1,71;1,13;0,97;1,07;0,60;0,94;1,84;2,01;0,49;0,76;0,99;0,56;0,76;0,68;0,55;3,00;0,60;5,12;1,52;0,76;3,68;2,47;1,63;3,91;1,18;5,16;3,87;1,70;16,11;3,97;3,04;3,30;3,55;2,57;3,48
Antigua and Barbuda;136,93;98,94;129,63;89,07;100,16;130,26;128,85;126,37;102,44;136,99;105,58;101,91;123,27;154,55;185,36;130,54;110,86;133,66;155,43;110,41;84,59;91,70;75,88;101,29;51,80;125,60;56,57;100,20;83,08;67,32;54,26;95,99;57,55;80,88;118,87;117,02;89,75;76,47;88,73;87,12;77,64;91,09;89,41;93,00;74,30;123,72;123,02;96,84;104,11;114,24;95,64;81,26;77,99;121,77;93,82;103,69;80,46;109,29;122,25;110,32;106,96;97,75;116,23;88,94;129,89;68,59;117,14;70,16;95,51;93,94;98,85;82,71;86,61;70,70;67,08;88,00;96,57;65,15;75,80;110,15;139,02;108,78;160,17;131,95;134,32;128,16;125,26;109,23;58,18;41,24;47,55;41,20;40,32;81,75;41,52;41,87;67,47;60,04;48,33;48,93;28,43;32,81;36,16;28,20;50,45;47,42;50,87;42,65;56,86;41,28;46,68;29,80;21,17;44,63;16,73;48,33;12,91;9,29;19,86;47,17;17,05;6,67;22,56;38,06;12,78;19,54;20,18;21,51;45,87;19,64;17,02;10,78;15,27;13,16;27,52;16,03;9,93;28,18;11,17;25,52;16,30;39,62;16,69;17,59;26,69;15,79;11,45;29,98;23,59;29,42;17,53;37,10;28,42;60,19;19,10;23,84;31,29;24,10;26,16;16,56;25,60;24,96;26,90;25,16
Argentina;5123,79;4593,57;5038,30;4950,51;5345,18;5228,01;5257,90;4819,08;4824,57;4560,38;4357,38;4608,73;4111,68;4106,74;4758,01;4642,63;4742,97;4889,87;5057,58;4670,46;4554,39;4403,48;4072,50;4188,87;3713,45;4075,42;4106,24;4063,14;4355,03;4657,02;4097,39;4757,10;4321,90;4007,99;4503,91;4353,57;4017,25;4011,93;5044,56;4890,51;5639,72;5492,60;5669,97;5700,60;5513,87;5528,72;5335,54;5348,75;4905,50;5207,81;6050,69;5734,17;5686,59;5730,07;5193,90;5388,82;4239,48;4323,32;4019,01;3524,77;3509,09;3536,16;3966,77;4033,37;4519,07;4145,47;4265,12;4144,54;3451,74;3322,85;3010,45;3472,90;2944,32;3360,61;3682,55;2457,93;3756,10;3570,79;4767,62;4728,83;5322,02;5031,65;5124,43;5185,30;5027,63;5085,83;5200,64;5646,40;5044,66;4853,58;5306,09;5319,68;6154,45;6647,11;7378,15;6803,71;7148,83;6826,61;6083,11;6060,21;4610,21;4180,94;4941,57;4460,55;4779,20;5724,99;6397,13;5886,44;5786,63;5555,43;5060,77;5202,03;3752,05;4084,32;4777,03;4662,13;4698,96;5251,23;5528,29;6184,55;5882,83;5517,83;5762,65;5169,46;4592,63;4519,24;4957,26;4603,28;5276,00;5120,76;5717,79;5964,84;5496,51;5663,14;5880,83;5091,21;5040,36;4654,18;5242,77;5636,74;5371,25;5535,99;5525,38;5810,15;5372,92;5680,79;5334,30;5215,05;5502,59;4893,75;5199,21;5135,53;5822,03;5312,32;6615,43;5995,72;5712,22;6404,18;5801,84;6222,35;5426,98;4899,22;5290,81;4103,29
Aruba, Kingdom of the Netherlands;207,27;401,01;369,20;168,33;354,27;454,53;417,60;262,76;468,83;419,07;396,53;225,63;299,34;315,35;201,56;133,34;307,70;372,53;154,96;241,94;205,63;239,21;165,31;164,40;144,28;151,98;152,68;154,86;149,22;156,12;161,08;144,59;187,12;217,76;129,00;200,05;140,50;176,22;210,40;199,26;173,91;148,64;116,26;178,95;166,30;209,91;151,17;130,71;119,96;159,45;130,87;149,24;133,99;119,08;131,70;102,88;138,71;111,61;150,89;115,79;121,05;109,10;188,19;98,72;101,26;104,41;120,88;132,74;124,47;117,88;119,88;112,98;102,27;102,17;96,37;60,70;104,93;88,17;126,45;110,85;133,63;130,54;138,88;94,42;130,05;159,93;129,23;183,49;15,26;11,93;12,31;39,00;194,19;45,58;123,62;67,79;7,05;32,09;47,89;29,22;16,83;43,58;13,01;29,40;44,05;13,80;60,24;18,20;8,84;33,03;28,23;22,47;6,28;6,02;3,87;54,17;12,19;25,79;8,73;16,10;16,08;8,31;11,71;4,70;11,25;3,51;5,24;82,17;5,76;5,67;7,05;20,80;17,12;19,17;32,59;28,37;7,82;16,93;4,67;7,28;3,19;3,06;7,55;7,35;6,78;7,33;6,99;2,46;28,60;4,01;5,21;13,60;6,16;5,34;30,05;5,24;4,48;7,09;6,28;6,63;5,05;5,27;3,94;1,26
Bahamas, The;669,46;901,83;1067,97;688,99;854,19;1337,06;755,29;928,83;1058,35;848,65;637,66;1100,20;770,40;846,61;1361,18;476,16;631,12;700,17;693,94;897,93;1381,43;679,14;910,22;396,69;804,30;666,05;404,10;690,90;1049,93;729,81;599,29;338,56;511,13;459,25;522,87;520,20;589,49;695,32;700,23;640,39;835,09;959,10;494,55;515,02;1230,98;754,74;875,96;685,49;790,04;806,75;731,70;792,14;733,03;1078,23;876,86;1001,98;546,69;589,43;975,13;880,80;765,00;1076,44;1069,77;1449,39;998,12;1015,65;945,15;463,72;831,65;820,87;702,30;521,01;463,79;561,91;490,20;426,13;497,59;718,52;471,24;563,14;649,84;709,45;438,91;520,29;697,04;981,35;1049,23;864,58;646,63;397,41;503,82;311,33;283,60;514,92;441,28;201,54;244,98;225,47;270,82;893,43;282,84;170,86;216,54;253,46;148,17;270,51;238,41;235,82;254,62;205,95;298,03;131,23;76,60;210,75;127,35;160,38;157,86;108,83;192,63;117,11;115,66;357,76;142,94;188,17;83,51;105,40;175,92;123,49;101,26;170,17;168,76;122,85;147,51;112,37;178,08;99,96;210,04;232,26;154,11;127,35;79,03;129,62;97,31;49,56;134,71;57,51;66,15;191,40;109,00;168,98;112,25;99,37;108,13;127,58;97,55;130,50;34,59;59,86;191,94;173,60;133,04;61,29;39,93;64,72
Barbados;150,72;102,51;188,52;121,60;144,07;182,02;123,84;148,96;116,97;185,83;105,76;117,72;116,21;124,21;109,34;111,48;157,31;139,17;135,49;120,07;127,38;121,59;128,03;107,85;111,62;101,37;106,40;106,12;93,27;118,35;96,58;103,79;103,53;113,89;115,79;117,50;110,92;115,00;124,44;133,53;102,92;148,68;110,28;190,01;126,67;133,52;117,24;115,24;130,63;97,95;105,94;99,79;147,64;179,73;143,94;99,06;109,35;131,63;120,37;128,58;104,99;106,56;103,55;107,61;119,39;100,70;107,58;117,15;85,61;107,03;130,72;114,67;103,02;185,38;124,19;106,26;121,43;105,37;131,07;131,51;208,10;157,37;210,58;165,29;214,13;188,74;287,57;224,78;35,98;36,22;37,35;38,60;37,07;46,92;41,07;37,08;75,35;71,95;37,81;38,57;26,23;27,02;22,94;24,62;42,94;29,41;38,46;23,12;23,64;26,01;25,35;27,20;23,58;29,51;28,11;40,62;34,22;29,36;26,37;26,60;28,87;40,73;35,44;29,10;25,44;53,41;48,05;30,41;35,91;29,92;26,78;31,25;24,73;27,77;30,01;38,37;49,25;31,19;35,87;39,96;37,38;29,46;51,15;30,98;27,97;35,48;32,72;29,94;23,60;27,94;29,48;25,76;26,99;29,50;27,05;25,48;25,98;72,23;51,06;24,31;23,40;31,24;24,94;15,42
Belize;116,31;73,17;107,71;90,25;93,25;90,07;79,29;90,82;75,97;83,83;74,52;94,17;71,20;74,83;81,48;75,66;97,97;73,54;90,10;97,88;66,89;73,86;86,13;87,16;60,53;74,90;72,92;85,37;69,71;98,68;78,55;78,69;79,79;87,35;85,28;83,07;58,79;61,11;80,01;93,59;89,19;92,36;81,11;66,92;130,67;94,27;86,11;88,18;72,51;74,92;67,95;98,61;71,26;85,13;95,53;77,29;86,04;86,20;111,55;69,02;68,35;62,87;81,84;89,66;122,91;87,87;96,74;91,79;73,66;105,45;79,60;93,89;92,82;81,74;88,20;58,00;71,59;62,94;81,67;119,04;98,76;97,40;123,79;108,77;96,70;118,96;96,58;138,97;39,28;35,40;51,10;52,82;53,40;51,15;62,21;58,69;45,78;38,22;39,31;54,48;28,64;41,03;39,26;44,82;48,35;34,98;47,39;51,23;31,43;39,28;31,45;36,47;19,76;22,25;33,91;33,05;35,89;56,00;45,44;45,38;64,30;47,19;42,22;51,94;20,02;22,56;28,62;26,40;35,61;101,03;23,51;33,66;26,01;36,28;24,03;153,06;17,63;43,11;39,66;44,37;178,55;38,34;28,47;29,33;20,35;39,61;33,29;24,09;23,46;26,02;30,20;24,09;35,11;26,16;45,60;38,50;18,63;32,47;19,20;23,59;26,96;24,69;25,23;40,54
Bermuda;110,26;80,28;169,10;106,08;108,78;483,32;205,80;688,83;808,86;84,59;234,36;337,56;904,77;77,94;258,36;276,01;89,64;318,36;346,78;82,29;87,01;517,01;519,91;406,65;384,09;336,88;399,60;108,99;91,45;682,27;130,76;63,82;310,15;367,95;66,83;112,54;169,29;263,43;362,62;93,08;91,17;378,57;58,47;62,37;168,83;118,23;77,48;263,91;111,89;300,81;330,63;120,18;100,78;87,15;68,65;90,13;69,33;127,53;146,91;74,32;75,85;65,61;292,46;111,32;67,96;154,03;121,27;268,67;60,20;95,40;69,59;50,48;119,65;257,35;402,65;233,76;84,96;74,44;88,48;105,33;79,91;295,70;94,99;336,90;79,63;140,51;77,16;262,24;4,63;3,55;6,26;40,98;6,52;3,58;6,34;5,59;6,82;14,98;4,25;30,42;48,33;180,06;10,56;11,98;11,97;10,22;17,27;15,01;11,72;287,53;13,75;4,31;2,40;19,51;98,09;36,77;24,79;34,43;67,99;63,26;4,93;2,97;113,63;3,51;2,53;2,86;4,37;5,78;4,64;3,60;35,53;6,44;8,14;13,60;4,02;128,08;29,97;1,35;4,65;3,84;11,45;1,85;52,72;2,31;76,30;78,76;46,82;1,95;4,86;4,51;49,79;18,65;7,07;3,22;66,42;72,64;330,40;28,46;11,74;4,18;3,95;101,03;3,76;1,57
Bolivia;606,66;647,91;703,79;778,36;824,03;762,01;750,12;735,87;728,53;773,62;725,06;753,93;603,38;556,07;684,15;599,05;577,53;649,27;634,52;582,29;582,41;643,27;610,49;697,33;578,03;547,42;657,13;631,17;611,76;658,46;654,01;621,34;615,11;584,97;674,93;723,34;620,09;597,86;713,47;620,31;641,81;674,92;726,21;765,76;668,55;692,46;709,39;713,04;591,06;537,72;619,10;630,17;561,60;564,42;637,14;594,26;590,56;658,66;650,37;684,01;544,84;513,86;607,03;699,62;577,01;587,92;652,64;607,29;599,94;565,40;481,15;606,04;526,29;483,41;434,70;274,34;486,25;493,83;556,09;550,39;554,93;575,15;562,35;573,49;588,98;590,24;612,08;775,78;968,88;997,68;976,14;1031,92;1057,07;1143,71;1086,03;1040,78;1116,51;1001,99;965,43;909,86;802,39;681,13;708,11;820,23;657,26;722,22;754,53;723,45;671,51;703,52;708,86;680,26;592,58;549,48;500,43;573,03;546,90;600,67;558,76;636,40;630,48;597,33;585,36;570,57;476,80;519,42;510,74;579,14;650,64;628,10;598,82;669,43;748,72;773,77;655,65;675,81;832,88;566,85;608,21;707,62;710,87;728,93;780,11;702,37;778,01;784,98;789,88;639,97;755,61;725,75;673,25;676,47;757,18;689,45;745,25;631,88;683,40;672,66;730,38;817,49;736,46;744,54;616,25;422,21
Brazil;18785,73;17473,84;19685,39;19092,99;20583,67;19294,60;21003,09;19519,63;19409,72;19331,45;17098,46;18171,94;15314,01;14896,81;15273,66;14597,09;14327,56;15421,40;14847,74;13184,65;13426,58;12286,05;10921,28;12492,07;9700,05;9861,92;11492,90;11379,01;11832,77;12796,93;12343,55;13384,86;12686,78;11872,51;13025,22;12852,63;12049,59;10662,12;13244,09;11915,22;14243,46;14346,28;15005,49;14949,44;15081,74;15161,25;14608,16;15019,27;14301,34;14215,63;14968,67;15059,05;17059,83;16627,31;15713,26;16399,00;15116,26;17213,67;14195,06;14407,39;14687,38;13001,09;15108,93;14862,57;15914,58;15508,24;17123,22;15491,07;15254,88;16109,30;15433,58;17161,64;14508,52;12849,24;14043,61;10251,58;16203,51;15426,18;17289,02;16930,72;18196,41;19290,72;19565,47;20772,59;21271,52;21483,51;20934,63;21633,94;19196,15;17009,31;17925,62;20225,56;21751,65;21502,78;23193,64;22239,25;20877,26;21067,24;17645,82;19222,85;16129,34;13839,62;16653,90;17677,71;17289,36;19897,81;20195,65;18053,28;18888,31;17713,12;16741,16;17232,48;14496,22;12987,22;15527,87;16321,16;17999,16;18673,80;17935,56;19137,07;18139,41;15802,22;17107,98;17536,28;16637,05;15828,54;19107,84;18641,54;21517,80;20825,18;20165,75;21416,24;20580,90;19800,20;21246,65;19535,70;20304,33;17992,38;19827,01;20785,73;23686,81;21361,51;21388,31;23660,23;22172,91;24136,99;21193,67;20801,59;21416,70;18208,20;18471,45;20511,81;21526,97;18218,36;22585,56;21409,75;20936,88;21927,41;21164,47;21105,80;19138,20;17270,79;18772,00;16986,42
Chile;5609,43;4779,32;5335,46;5825,96;5240,10;5459,02;5851,44;5785,57;5630,55;5253,62;5292,68;5400,34;4795,55;4749,86;4815,16;4521,02;4786,20;5228,79;5318,53;5359,48;5356,78;4882,07;4429,95;5089,05;4472,07;3787,55;4943,17;4239,57;4590,20;5112,84;4711,99;4995,01;4756,93;4480,30;4837,22;4994,03;4999,74;4151,13;4913,58;4840,60;5041,49;5282,41;5454,94;5771,68;5073,68;4990,88;5509,26;5852,64;5643,82;5173,15;5281,33;5944,14;5959,12;6176,37;6112,46;6459,64;6008,33;6566,87;6424,58;5886,48;5730,59;5313,40;5498,34;5645,46;6038,16;5425,07;6154,37;5564,96;5757,74;5722,17;5571,01;5433,53;5206,66;4272,66;5339,06;3779,16;6304,38;5586,52;6216,96;6604,73;6742,83;7340,64;7998,16;8119,32;7939,12;8017,28;8193,88;8643,32;7949,60;5973,43;6525,67;8282,17;6852,44;6498,06;6786,15;6205,13;6011,49;6445,77;6048,74;6443,41;7214,18;5561,43;6666,22;6530,80;5507,40;5447,11;5818,17;5184,20;4867,56;5099,26;5081,30;5349,56;5505,99;5221,03;5603,21;5638,44;5549,41;5207,00;4891,61;4938,71;4666,15;4565,88;5034,07;5561,46;6480,18;5707,64;6244,33;5382,33;5717,35;5348,06;5513,39;5861,72;6167,08;5763,48;6511,76;6427,96;8341,73;6947,15;7130,85;6851,75;7183,16;6812,65;7008,03;6786,13;5967,38;6233,85;6179,61;6281,22;8325,88;6537,83;6528,40;6964,62;6458,78;5967,03;6314,14;5676,73;5643,98;6113,05;5709,52;6144,63;8480,53;5946,40;6452,27;6315,58
Colombia;4493,49;3932,22;4749,77;4913,02;4776,86;4965,66;5114,57;4913,66;4952,94;5206,52;4726,74;5133,79;3963,39;3758,16;4080,10;3983,28;4234,53;4117,18;4245,34;3890,82;3993,42;4277,66;3622,38;3793,85;3089,22;3122,25;3447,90;3469,20;3405,28;3464,07;3478,98;3765,95;3685,70;3653,79;3553,46;3598,39;3652,30;3073,80;4296,50;3293,99;3663,54;3572,73;3631,41;3614,48;4036,83;3762,11;3722,05;3771,95;3649,89;3419,32;3940,26;4147,24;4070,12;4016,20;4216,92;4235,07;4054,55;4807,10;4321,87;3967,36;4082,83;3543,08;4164,69;4140,61;4334,58;3910,33;4432,14;4182,32;4262,56;4323,24;4292,78;4141,66;3856,79;3898,22;3864,41;2699,53;4053,87;3788,99;4678,38;4740,82;4740,35;4106,01;4926,66;5309,47;5459,96;5800,40;5841,75;5995,13;5197,63;5124,63;5507,82;5242,33;4191,20;4837,91;4493,32;4789,22;5908,99;5176,11;4489,31;4924,62;3767,72;3336,09;4044,04;3977,58;3807,28;3894,56;3956,44;3380,51;3219,87;3200,39;3162,96;3235,60;2780,05;2964,65;3180,88;2955,78;2859,43;3302,99;3119,51;3440,53;3283,49;3249,09;3096,32;3562,35;3291,64;3554,59;3960,31;3388,15;3437,97;3225,02;3356,48;3757,73;3347,31;3365,48;3902,29;3708,22;4064,23;3690,39;3782,74;3488,62;4030,17;3635,53;3804,45;4107,96;3720,63;4065,85;4075,90;3998,80;3947,15;3388,68;3414,37;4329,35;3731,90;3423,98;3639,66;3684,08;3339,54;3588,25;3139,24;3640,39;3388,93;3232,11;2946,35;2430,94
Costa Rica;1292,93;1147,24;1408,01;1279,36;1312,05;1301,88;1156,69;1168,98;1070,64;1211,34;1088,74;1038,34;1002,17;952,27;1107,69;1064,63;1116,52;1074,20;1147,48;1109,62;1150,18;1269,35;1062,30;1097,76;969,70;988,76;1099,28;1052,66;1174,49;1144,03;1118,98;1159,27;1143,68;1140,44;1188,61;1196,67;1100,81;1013,86;1164,39;1124,73;1143,29;1119,62;1069,80;1109,51;1132,06;1206,83;1253,20;1220,85;1014,65;1081,82;1163,56;1226,16;1348,03;1278,84;1158,70;1168,43;1140,92;1205,72;1278,47;1149,20;1063,66;1020,79;1234,68;1083,54;1121,93;1080,94;1056,11;1103,44;1065,37;1200,94;1175,35;1146,64;1141,26;1138,96;1170,94;939,94;1211,51;1165,51;1407,41;1409,38;1365,26;1438,57;1678,49;1479,08;1482,50;1584,56;1596,12;1654,07;2635,59;2708,00;3232,30;3363,66;3128,15;3027,35;2703,18;2784,91;2653,67;3616,81;1611,73;1509,45;1098,01;1120,12;1223,06;1174,03;1163,34;1190,21;1104,67;974,10;1030,70;1019,45;1022,89;1079,18;854,99;1023,95;1144,20;1095,53;1231,74;1155,49;1017,21;1071,95;1047,99;1054,32;1100,33;1118,93;967,25;1022,71;1176,68;1103,51;1295,03;1259,43;1129,74;1147,02;1111,53;1198,16;1196,68;1117,47;1086,29;1136,93;1256,43;1197,10;1328,52;1220,40;1254,35;1173,10;1063,97;1252,55;1161,23;1224,64;1102,98;1122,87;1241,63;1296,40;1313,16;1229,10;1253,10;1155,92;1180,52;1413,15;1174,84;1262,68;1064,65;1208,04;1414,51;1156,76
Curaçao, Kingdom of the Netherlands;27,89;34,81;75,57;50,31;39,31;48,21;102,56;38,35;48,20;81,12;39,90;40,44;41,94;40,44;49,17;50,56;46,30;57,09;51,16;56,39;47,39;57,20;52,74;77,38;36,40;39,99;43,39;53,60;41,11;47,40;42,60;49,51;44,10;47,37;80,62;142,27;84,56;46,34;47,28;40,31;125,79;95,62;115,31;111,34;72,96;88,05;80,66;202,17;141,29;180,40;229,35;232,63;126,96;85,06;70,69;108,03;126,06;114,58;80,19;84,31;75,45;69,85;87,32;89,91;76,32;96,27;72,36;100,27;92,73;107,53;95,61;94,60;74,92;97,08;85,09;50,96;70,17;71,41;76,46;119,34;91,72;93,86;90,93;88,36;87,02;100,52;145,98;107,45;80,47;36,88;45,29;36,88;44,75;42,83;38,66;47,79;39,50;53,35;40,08;42,68;27,82;33,61;30,66;29,68;30,19;32,71;30,27;29,85;27,43;23,49;23,48;21,71;60,69;61,09;79,07;65,01;83,39;71,00;68,83;73,52;67,26;64,83;119,56;100,52;48,67;30,46;24,88;26,56;34,84;41,34;30,96;43,79;52,90;29,78;25,57;27,01;53,36;62,18;28,03;15,93;17,95;18,24;23,88;30,61;15,53;33,27;33,63;19,55;19,23;27,83;14,74;16,98;29,62;11,50;16,91;16,28;13,76;18,16;16,79;11,85;11,45;41,68;8,40;7,75
Dominica;35,50;28,24;40,56;34,53;45,69;36,24;40,39;35,89;41,28;45,43;34,95;37,22;29,54;35,68;35,82;39,09;33,93;37,42;41,29;36,87;41,50;45,72;38,92;41,35;41,45;32,80;42,96;40,96;32,20;45,35;35,65;42,03;42,97;37,80;39,73;35,44;36,54;48,11;54,10;40,55;44,29;49,53;34,38;65,49;48,97;50,28;49,55;73,40;21,82;66,90;84,15;65,86;149,06;82,88;66,52;23,40;72,59;26,91;42,59;36,97;39,03;25,94;45,12;66,03;93,00;60,23;58,84;50,70;29,66;57,66;41,93;24,97;12,68;41,24;33,42;11,87;62,41;27,39;32,73;73,92;26,35;50,37;35,27;121,12;75,54;101,67;132,63;29,90;13,42;12,24;15,33;15,21;12,78;16,09;14,28;17,16;13,27;14,12;12,46;14,18;13,45;15,40;15,44;13,03;12,60;14,28;14,21;16,07;16,74;14,31;16,40;10,73;28,68;9,79;10,64;11,25;12,07;9,63;10,76;11,91;9,77;9,15;12,35;10,40;12,18;21,62;10,43;8,26;13,08;12,77;12,92;3,06;5,16;3,02;5,64;2,69;7,14;6,39;16,28;4,34;9,43;4,41;8,46;5,38;4,48;4,98;4,51;2,98;6,54;3,63;4,29;6,96;5,01;5,26;6,16;3,69;3,74;5,31;3,98;6,20;3,72;4,00;4,75;3,05
